Car_Brand,Year,Kilometers_Driven,Fuel_Type,Transmission,Engine_CC,Seats,Price
Maruti,2010,31223.45657556806,Petrol,Automatic,1074,5.0,625901.0479343792
Hyundai,2010,58499.80952374174,Diesel,Manual,1987,5.0,459890.1079965747
BMW,2016,12341.061963897742,Diesel,Manual,2793,5.0,395955.45884642366
Maruti,2011,112605.64224384564,Petrol,Manual,1669,7.0,982054.735272666
Toyota,2014,191509.71875721705,Petrol,Manual,1814,5.0,554556.1050921938
Toyota,2017,183491.78322458756,Petrol,Automatic,2711,5.0,842183.2163400901
Maruti,2017,79245.13284806149,Diesel,Automatic,1402,5.0,456569.757417644
Toyota,2012,16968.059941690288,Diesel,Manual,2599,5.0,685681.2478450737
Hyundai,2016,80995.286558018,Petrol,Automatic,1490,5.0,250916.0643848824
Honda,2012,11244.711114125566,Diesel,Automatic,1293,5.0,574175.1803835611
Honda,2015,11118.597386723692,Diesel,Manual,1289,4.0,479133.3905604653
Honda,2015,29549.28851086151,Diesel,Automatic,1189,5.0,1175417.0183208226
Maruti,2012,43534.38374608401,Diesel,Manual,1094,5.0,368969.5568260491
Tata,2016,83572.44612919283,Petrol,Manual,2192,5.0,638242.4829142401
Hyundai,2012,67489.28634454095,Diesel,Automatic,2517,5.0,801771.6509807953
Maruti,2017,39520.74936978542,Petrol,Manual,1448,5.0,1095153.801440882
Maruti,2019,25984.55812792035,Diesel,Automatic,2673,5.0,1021970.2273780316
Honda,2013,302576.43808284897,Diesel,Automatic,1367,7.0,662483.8698681683
Toyota,2022,37772.0895055017,Diesel,Manual,1244,5.0,707489.7118603766
Maruti,2010,40018.10242122714,Diesel,Automatic,1162,5.0,1174898.14430726
Honda,2013,18933.839622727784,Petrol,Manual,2970,5.0,656455.7470258292
Maruti,2016,89190.83503186541,Diesel,Manual,2011,5.0,743849.4533857917
Honda,2020,69156.6119018287,CNG,Manual,1541,4.0,1193949.374959619
Maruti,2013,22472.4264726588,Diesel,Automatic,2841,5.0,1976361.8195655567
Toyota,2022,14298.652845118935,Petrol,Manual,1479,5.0,774566.5192377729
Hyundai,2015,67049.79103686202,Petrol,Manual,2442,5.0,877180.7810877498
Tata,2018,63139.75472115715,Petrol,Manual,2372,5.0,1007166.5499168012
Maruti,2010,25959.292433686984,Diesel,Manual,2158,5.0,1188327.6264317278
Hyundai,2022,160657.72031925546,Diesel,Manual,2939,5.0,1108565.97681238
Maruti,2014,18188.214159732543,Petrol,Manual,862,7.0,517546.9643947696
Tata,2020,38311.17362517059,Diesel,Manual,1962,5.0,799504.5833828426
Tata,2016,153778.42163998273,Diesel,Manual,2028,7.0,1112338.487142549
Hyundai,2010,37212.8571346775,Diesel,Automatic,1055,5.0,1312332.8508286795
Toyota,2013,60878.250886505135,Diesel,Manual,934,7.0,638788.1608784717
Tata,2015,35341.21515045698,Diesel,Manual,1674,5.0,790239.616961626
Honda,2011,26025.086503344064,Diesel,Automatic,1621,5.0,834167.7645373839
Honda,2019,216688.5264565887,Petrol,Manual,2935,5.0,696320.7017501706
Maruti,2014,36325.22879227116,Diesel,Automatic,1622,5.0,780475.6403464173
Maruti,2020,122262.6253424066,Diesel,Manual,1773,5.0,246032.71150751464
Tata,2019,23065.290624194524,Diesel,Automatic,2577,5.0,2598424.709380944
Tata,2010,21983.004068942893,Diesel,Manual,920,5.0,626240.1345678929
Honda,2015,11581.452454777753,Diesel,Manual,2437,5.0,649352.1966924754
Hyundai,2015,62729.79294379948,Petrol,Manual,2164,5.0,307294.8327409595
Hyundai,2022,32984.95270861007,Petrol,Automatic,1807,5.0,286789.7284828753
Toyota,2013,109886.90294133968,Petrol,Manual,1724,5.0,862626.9010721309
Tata,2022,42047.65573514068,Petrol,Manual,1444,5.0,1114566.6397710242
Tata,2017,182404.11706004004,Diesel,Automatic,2832,5.0,1015504.0882607034
Toyota,2013,20260.60891304192,CNG,Automatic,2868,5.0,455996.02860310185
Honda,2017,111484.27523649552,Petrol,Manual,1041,5.0,986588.8229290032
Maruti,2022,84938.86523371488,Petrol,Automatic,2419,5.0,644454.5887137554
Maruti,2017,83684.60219450181,Diesel,Automatic,1602,5.0,571226.0948167092
Tata,2014,103146.63054072944,Petrol,Manual,1763,5.0,353099.6006724478
Honda,2022,81569.60563018636,Diesel,Manual,868,5.0,482314.9944473127
Maruti,2013,59204.43752117819,Diesel,Manual,1952,5.0,872340.6854315727
Maruti,2021,17034.699296379124,Diesel,Manual,995,5.0,795442.5672590684
Toyota,2022,11653.345667499285,Petrol,Manual,2987,5.0,740125.9074687413
Maruti,2011,136819.16509071318,Petrol,Manual,1545,5.0,241475.6014557943
Maruti,2020,57940.38447153901,Diesel,Manual,2488,5.0,743772.9508112773
Honda,2012,89613.62694658198,Diesel,Manual,1076,5.0,513945.11232231255
Toyota,2012,42842.91801348973,Petrol,Manual,860,5.0,798201.6020375197
Toyota,2013,16238.958208700402,Diesel,Automatic,2713,5.0,1206071.1373035102
Maruti,2013,16687.187455816922,Petrol,Automatic,2899,5.0,549928.9954767127
Toyota,2019,67848.94074723557,Diesel,Manual,2572,5.0,717834.4015726219
Maruti,2020,38132.78599620951,Petrol,Automatic,2134,5.0,1666905.133845759
Hyundai,2020,21189.983744581805,CNG,Manual,2637,7.0,779143.5266861218
Toyota,2014,43823.80067046655,Petrol,Manual,1366,5.0,676090.0892343615
Honda,2013,13318.152539672985,Petrol,Manual,2371,7.0,459432.4301186789
Tata,2020,53610.27161624753,Petrol,Manual,1421,5.0,999932.603966234
Toyota,2019,25666.63983062287,Petrol,Automatic,2825,5.0,423993.65889582696
Honda,2017,89865.36450159809,Diesel,Manual,2000,4.0,1232379.457406097
Maruti,2015,28579.41985900969,CNG,Manual,1113,5.0,931211.841082535
Hyundai,2015,40368.675459765625,Petrol,Manual,2944,5.0,522364.7942700671
Hyundai,2017,10584.429302546543,Petrol,Manual,2036,5.0,466531.4512949815
Maruti,2016,13760.261115334892,Diesel,Manual,936,5.0,471703.0196575227
BMW,2019,34919.62485428586,Diesel,Manual,1829,7.0,288817.7494884534
Hyundai,2020,42690.44243900063,Diesel,Manual,2956,5.0,852637.5134096087
Tata,2021,55817.10517459567,Petrol,Automatic,1461,5.0,252092.81135232863
Honda,2019,27241.735753722907,Petrol,Automatic,886,5.0,655714.0632850521
Toyota,2022,69369.20571945929,Diesel,Manual,2923,5.0,635729.8850017183
Honda,2017,108349.37522015513,Petrol,Automatic,2108,5.0,583591.9915761431
Honda,2011,85672.53193487854,Diesel,Manual,2500,5.0,849826.0817408909
Hyundai,2018,12021.250819885156,Petrol,Manual,1294,7.0,522974.0207197984
Maruti,2010,42745.092075105415,Diesel,Manual,2447,5.0,744680.6844501742
Toyota,2017,15542.677540477309,Petrol,Manual,2742,5.0,1232259.1069855182
Hyundai,2021,23856.56413923591,Diesel,Automatic,1868,5.0,898593.878200632
Maruti,2020,225859.13276147167,Petrol,Manual,2224,5.0,559660.3685200835
Honda,2021,17686.44510865293,Diesel,Manual,1396,5.0,685911.1329178681
Maruti,2021,44546.29781045037,Petrol,Manual,1249,5.0,583900.7840019721
Tata,2013,58137.12174806432,Diesel,Manual,1284,5.0,631441.9524462915
BMW,2013,70611.16574288691,Diesel,Automatic,1445,5.0,755644.9159973983
Tata,2014,51009.12120190553,Diesel,Manual,2429,5.0,346229.99382183526
Hyundai,2017,10490.94476922816,Diesel,Manual,1461,5.0,312822.2069464059
Maruti,2014,29760.491799893007,Diesel,Manual,1557,5.0,441660.1761486405
Tata,2017,46460.65467863416,Diesel,Manual,1088,5.0,869280.3709226828
Hyundai,2019,14598.445855202535,Petrol,Manual,1520,5.0,927121.5487133148
BMW,2010,31587.39455418413,Diesel,Manual,1437,5.0,994383.1613408808
BMW,2021,11688.342285276203,Petrol,Manual,1298,5.0,449658.0212837015
Tata,2019,14091.884480404362,Petrol,Manual,1433,5.0,715872.5380340567
Hyundai,2018,35285.54267677975,Petrol,Automatic,2473,5.0,567821.2146695377
Hyundai,2015,17119.42529623307,Petrol,Automatic,2830,5.0,643935.6268078748
Tata,2012,51913.370195906034,Diesel,Manual,914,5.0,563098.040371284
Hyundai,2022,68472.9281579217,Diesel,Manual,1473,5.0,776207.8615730726
Maruti,2017,90618.78595553795,Diesel,Manual,2536,4.0,493046.59160033806
Honda,2018,21166.56871289236,Diesel,Automatic,2057,5.0,1164840.1063130514
Tata,2015,19165.05675675385,Petrol,Manual,946,5.0,1169950.6196453138
Toyota,2020,15522.440864253784,Petrol,Manual,2965,5.0,856319.9397076912
Honda,2016,60589.20573520653,Petrol,Manual,1211,5.0,1098328.4362324893
Maruti,2010,71289.74697557997,Petrol,Manual,2487,5.0,340512.237636616
Honda,2014,11604.787336801606,Petrol,Manual,2332,5.0,1198268.1013991835
BMW,2014,147609.70272244545,Petrol,Manual,936,5.0,817228.2691644469
Maruti,2019,12668.524283950404,Diesel,Manual,818,7.0,506804.109917746
Honda,2013,48967.5444047811,Diesel,Manual,2759,5.0,483481.8432342482
Tata,2015,71732.00020306195,CNG,Manual,1801,5.0,1400191.4322075902
Toyota,2016,112385.17762273805,Diesel,Manual,1248,7.0,1002140.0964290884
Toyota,2018,72603.37364360131,Diesel,Manual,2748,7.0,635846.4229941583
Toyota,2010,90905.79362983628,Petrol,Manual,1745,5.0,338843.8125326288
Hyundai,2015,30734.13745732168,Diesel,Manual,2177,5.0,1228486.580764937
Hyundai,2016,94322.72846739615,Diesel,Manual,2322,5.0,397301.02770893846
Tata,2012,14175.322487908132,Petrol,Automatic,940,5.0,572644.4045533334
Tata,2017,122602.5159392608,Petrol,Manual,2720,5.0,635429.6012930467
Tata,2014,49658.58414394647,Diesel,Manual,892,5.0,480101.82097442186
Tata,2018,94994.88048327592,Petrol,Manual,1038,5.0,622030.4341995855
Honda,2014,40103.04859675232,Diesel,Manual,1004,5.0,681035.7579122687
Honda,2018,61581.95008600444,Diesel,Manual,2256,5.0,615969.2399480315
Toyota,2019,47369.89069793848,Petrol,Manual,1044,5.0,794644.032120337
Honda,2013,75761.89174934603,Petrol,Manual,1631,5.0,1426210.1443642653
Toyota,2018,14257.744994447808,Petrol,Automatic,1094,5.0,345948.50288120017
Toyota,2014,13112.501565950754,Petrol,Manual,1655,5.0,736535.0592711836
Tata,2019,24191.35787699582,Petrol,Automatic,2864,5.0,399221.1807501806
Hyundai,2018,18690.5743257575,Diesel,Automatic,870,5.0,331778.557641441
Hyundai,2012,112701.7778501199,Petrol,Manual,2092,7.0,1057665.2017366632
Maruti,2013,22372.707909027697,Diesel,Automatic,2148,5.0,766700.1879704905
Honda,2018,196205.14047170465,Petrol,Manual,1104,5.0,323034.2839358599
Maruti,2019,30541.156216571464,Diesel,Automatic,1830,5.0,621762.4457063224
Hyundai,2020,20051.85519894264,Petrol,Manual,2137,5.0,442199.90149390366
Honda,2015,87960.65487971737,Petrol,Manual,1616,5.0,632116.8139294805
Hyundai,2011,63750.81026707593,Diesel,Manual,1926,5.0,943131.8527777322
Honda,2016,44477.25543617169,Diesel,Manual,1620,5.0,897123.1547269743
Maruti,2011,50524.91495578103,Petrol,Manual,992,4.0,564986.7603918284
Maruti,2020,73505.94698644831,Diesel,Manual,2576,5.0,1081907.6731717305
Tata,2011,22967.99728433534,Petrol,Manual,1328,4.0,1280154.6470794908
Hyundai,2020,290431.56160238525,Petrol,Manual,1050,7.0,950683.6538118848
Maruti,2010,194031.99889450477,Petrol,Manual,2588,7.0,521543.4204826379
Honda,2020,62537.65450662784,Petrol,Manual,2826,5.0,641973.5516631068
Toyota,2020,21128.588923444662,Diesel,Automatic,2203,5.0,1403651.3691601765
Maruti,2021,67007.38976376844,Petrol,Automatic,1967,5.0,584921.3711522499
Honda,2020,13746.868591714663,Petrol,Automatic,2872,5.0,898486.7768034932
Maruti,2012,11556.605826180974,Diesel,Manual,1896,5.0,477079.7270837972
Maruti,2015,24898.93765694483,Diesel,Manual,2647,7.0,1085627.203255143
Honda,2017,41052.76509367194,Petrol,Manual,1304,5.0,452235.3967316415
Honda,2018,111350.99625954202,Diesel,Automatic,2421,5.0,655283.7048873554
Honda,2016,74945.14894089445,Petrol,Manual,2187,5.0,883205.1975711661
Toyota,2013,77876.8952374661,Diesel,Manual,2022,7.0,1547842.259035334
BMW,2015,37712.17897037069,Diesel,Manual,1517,4.0,759971.3191220431
Honda,2014,31227.42663447413,CNG,Automatic,1138,5.0,602066.2301159089
Hyundai,2017,33184.28252736485,Petrol,Manual,1458,5.0,580840.8991576708
Toyota,2010,229703.1945758252,Petrol,Manual,1761,5.0,1062463.6543522975
Hyundai,2010,12046.787102196433,Petrol,Manual,1228,5.0,849087.9746510756
Hyundai,2022,110882.14958778696,Petrol,Manual,1698,7.0,934091.766873607
Maruti,2020,53217.587067633125,Petrol,Manual,938,5.0,1354228.6728090493
Maruti,2015,38867.45405173297,Diesel,Manual,1341,5.0,703199.0094640254
BMW,2019,74596.07837444352,Petrol,Manual,2904,5.0,820473.5151804574
Tata,2021,43341.7151799607,Petrol,Automatic,2055,5.0,577153.8980646995
Toyota,2011,113345.31706338834,Diesel,Manual,1183,5.0,468712.5974972126
Hyundai,2014,125481.42398101871,Petrol,Automatic,993,5.0,511155.8533826402
Maruti,2010,37384.93506770124,Diesel,Automatic,2695,5.0,221616.8363738136
Maruti,2016,26205.395354257096,Petrol,Manual,1531,5.0,878897.1593331964
Hyundai,2010,54867.35609704546,Petrol,Manual,2963,5.0,835757.3803786092
Honda,2013,131727.79697617993,Petrol,Manual,1484,5.0,869950.288251306
Toyota,2018,21828.04494750123,Petrol,Automatic,881,5.0,454625.75093375175
Toyota,2010,58771.07288497878,Diesel,Manual,1331,5.0,515283.2047759012
Hyundai,2013,59923.900011277176,Petrol,Manual,2783,5.0,507538.5720067358
BMW,2015,76046.50075634278,Diesel,Manual,1020,5.0,1137563.2164715417
Toyota,2015,17053.281485133022,Petrol,Manual,1434,4.0,746562.7174473725
Honda,2021,72908.2454563555,Petrol,Manual,2569,5.0,699599.99821398
Honda,2022,129862.66031446223,Diesel,Manual,2674,5.0,975904.477785973
Hyundai,2017,19903.228039007223,Petrol,Manual,802,5.0,508329.367639352
Maruti,2010,23560.479584358098,Diesel,Manual,2517,5.0,810933.7764501505
Hyundai,2016,187708.8519430756,CNG,Manual,1005,4.0,1649401.5881900531
Toyota,2010,19982.152737757897,Diesel,Manual,2655,5.0,1225659.1046173433
Maruti,2022,106339.4883878329,Diesel,Manual,839,7.0,805090.2011379489
Maruti,2016,43891.047127677455,Petrol,Manual,2906,5.0,712152.7387984374
Maruti,2012,24199.84849971852,Petrol,Automatic,1443,5.0,866344.7872892098
Maruti,2020,112300.30008724245,Petrol,Manual,2330,5.0,1309419.54714074
Tata,2017,39466.86627799779,Diesel,Manual,2707,7.0,1263591.3011523602
Toyota,2012,46161.49345505591,CNG,Manual,2943,5.0,1418627.8326735068
Hyundai,2022,32254.49795889039,Petrol,Manual,1697,5.0,766656.0380108892
Maruti,2010,54941.06713425393,Diesel,Manual,1885,4.0,251388.16574424697
Hyundai,2022,18927.86488088157,Petrol,Manual,2079,5.0,1590450.136969178
Hyundai,2022,34803.54531817368,Diesel,Automatic,1470,5.0,468238.69909402187
Maruti,2017,184357.9020910572,Petrol,Manual,2305,4.0,968173.5061377804
Hyundai,2012,24929.29402120031,CNG,Manual,1518,5.0,253236.6235176228
Hyundai,2011,63462.86922585514,Diesel,Manual,1871,4.0,692681.6338951875
Honda,2010,29666.210219446355,Petrol,Manual,2755,5.0,585414.833286582
Honda,2012,84244.58453535826,Petrol,Manual,1959,5.0,1420236.8554573727
